name,kind,outcome,message,secs,n_equations,n_states,n_algebraic,n_discrete,n_parameters,structural,n_blocks,n_coupled,largest_coupled,has_arrays,max_depth,n_functions
Modelica.Blocks.Math.Pythagoras,Component,success,,0.212,2,0,1,1,1,ok,2,0,0,false,0,0
Modelica.Blocks.Math.RealFFT,Component,failed:Typecheck,unevaluable array dimensions for 'abs': dimension expression could not be evaluated: [Expression(nf)]; unevaluable array dimensions for 'arg': dimension expression could not be evaluated: [Expression(,0.254,,,,,,,,,,false,0,
Modelica.Blocks.Math.RealToBoolean,Component,success,,0.209,0,0,0,2,2,error:empty system: no equations or unknowns,,,,false,1,0
Modelica.Blocks.Math.RealToInteger,Component,success,,0.204,0,0,0,2,1,error:empty system: no equations or unknowns,,,,false,1,0
Modelica.Blocks.Math.RectangularToPolar,Component,success,,0.208,2,0,0,0,0,ok,2,0,0,false,0,1
Modelica.Blocks.Math.RectifiedMean,Component,success,,0.216,6,1,2,2,14,ok,6,0,0,false,2,0
Modelica.Blocks.Math.RootMeanSquare,Component,success,,0.213,9,1,3,2,15,ok,9,0,0,false,2,0
Modelica.Blocks.Math.Sign,Component,success,,0.215,1,0,0,1,2,ok,1,0,0,false,1,0
Modelica.Blocks.Math.SignalExtrema,Component,success,,0.209,0,0,0,5,9,error:empty system: no equations or unknowns,,,,false,1,0
Modelica.Blocks.Math.Sin,Component,success,,0.215,1,0,0,0,0,ok,1,0,0,false,0,1
Modelica.Blocks.Math.Sinh,Component,success,,0.219,1,0,0,0,0,ok,1,0,0,false,0,1
Modelica.Blocks.Math.Sqrt,Component,success,,0.203,1,0,0,0,0,ok,1,0,0,false,0,0
Modelica.Blocks.Math.StandardDeviation,Component,success,,0.213,7,2,2,0,3,ok,7,0,0,false,1,0
Modelica.Blocks.Math.Sum,Component,success,,0.235,1,0,0,0,2,ok,1,0,0,false,0,0
Modelica.Blocks.Math.Tan,Component,success,,0.215,1,0,0,0,0,ok,1,0,0,false,0,1
Modelica.Blocks.Math.Tanh,Component,success,,0.210,1,0,0,0,0,ok,1,0,0,false,0,1
Modelica.Blocks.Math.TotalHarmonicDistortion,Component,success,,0.356,48,3,22,12,65,ok,48,0,0,false,3,3
Modelica.Blocks.Math.UnitConversions.From_bar,Component,success,,0.217,1,0,0,0,0,ok,1,0,0,false,0,1
Modelica.Blocks.Math.UnitConversions.From_day,Component,success,,0.220,1,0,0,0,0,ok,1,0,0,false,0,1
Modelica.Blocks.Math.UnitConversions.From_deg,Component,success,,0.219,1,0,0,0,0,ok,1,0,0,false,0,1
Modelica.Blocks.Math.UnitConversions.From_degC,Component,success,,0.210,1,0,0,0,0,ok,1,0,0,false,0,1
Modelica.Blocks.Math.UnitConversions.From_degF,Component,success,,0.212,1,0,0,0,0,ok,1,0,0,false,0,1
Modelica.Blocks.Math.UnitConversions.From_degRk,Component,success,,0.211,1,0,0,0,0,ok,1,0,0,false,0,1
Modelica.Blocks.Math.UnitConversions.From_gps,Component,success,,0.209,1,0,0,0,0,ok,1,0,0,false,0,1
Modelica.Blocks.Math.UnitConversions.From_hour,Component,success,,0.212,1,0,0,0,0,ok,1,0,0,false,0,1
