name,kind,outcome,message,checks_failed,n_violations
Modelica.Clocked.Examples.Elementary.BooleanSignals.SampleVectorizedAndClocked,Examples,ok,,,0
Modelica.Clocked.Examples.Elementary.BooleanSignals.ShiftSample,Examples,ok,,,0
Modelica.Clocked.Examples.Elementary.BooleanSignals.SubSample,Examples,ok,,,0
Modelica.Clocked.Examples.Elementary.BooleanSignals.SuperSample,Examples,ok,,,0
Modelica.Clocked.Examples.Elementary.BooleanSignals.TickBasedPulse,Examples,ok,,,0
Modelica.Clocked.Examples.Elementary.BooleanSignals.TickBasedStep,Examples,ok,,,0
Modelica.Clocked.Examples.Elementary.BooleanSignals.TimeBasedPulse,Examples,ok,,,0
Modelica.Clocked.Examples.Elementary.BooleanSignals.TimeBasedStep,Examples,ok,,,0
Modelica.Clocked.Examples.Elementary.BooleanSignals.UpSample,Examples,ok,,,0
Modelica.Clocked.Examples.Elementary.ClockSignals.LogicalSample,Examples,ok,,,0
Modelica.Clocked.Examples.Elementary.ClockSignals.RotationalSample,Examples,ok,,,0
Modelica.Clocked.Examples.Elementary.ClockSignals.ShiftSample,Examples,ok,,,0
Modelica.Clocked.Examples.Elementary.ClockSignals.SubSample,Examples,ok,,,0
Modelica.Clocked.Examples.Elementary.ClockSignals.SuperSample,Examples,ok,,,0
Modelica.Clocked.Examples.Elementary.IntegerSignals.AssignClock,Examples,ok,,,0
Modelica.Clocked.Examples.Elementary.IntegerSignals.AssignClockVectorized,Examples,ok,,,0
Modelica.Clocked.Examples.Elementary.IntegerSignals.BackSample,Examples,ok,,,0
Modelica.Clocked.Examples.Elementary.IntegerSignals.Hold,Examples,ok,,,0
Modelica.Clocked.Examples.Elementary.IntegerSignals.Sample1,Examples,ok,,,0
Modelica.Clocked.Examples.Elementary.IntegerSignals.Sample2,Examples,ok,,,0
Modelica.Clocked.Examples.Elementary.IntegerSignals.SampleClocked,Examples,ok,,,0
Modelica.Clocked.Examples.Elementary.IntegerSignals.SampleVectorizedAndClocked,Examples,ok,,,0
Modelica.Clocked.Examples.Elementary.IntegerSignals.ShiftSample,Examples,ok,,,0
Modelica.Clocked.Examples.Elementary.IntegerSignals.SubSample,Examples,ok,,,0
Modelica.Clocked.Examples.Elementary.IntegerSignals.SuperSample,Examples,ok,,,0
Modelica.Clocked.Examples.Elementary.IntegerSignals.TickBasedStep,Examples,ok,,,0
Modelica.Clocked.Examples.Elementary.IntegerSignals.TimeBasedStep,Examples,ok,,,0
Modelica.Clocked.Examples.Elementary.IntegerSignals.UpSample,Examples,ok,,,0
Modelica.Clocked.Examples.Elementary.RealSignals.AssignClock,Examples,ok,,,0
